y_m,qz_Npm,mx_Nm_per_m
0.0,28114.051454100776,0.0
0.6043469387755102,28108.196189754428,0.0
1.2086938775510203,28090.623073819905,0.0
1.8130408163265304,28061.31009174232,0.0
2.4173877551020406,28020.220399029953,0.0
3.021734693877551,27967.302088533816,0.0
3.6260816326530607,27902.487859834295,0.0
4.230428571428571,27825.694585776124,0.0
4.834775510204081,27736.822769549144,0.0
5.4391224489795915,27635.7558838847,0.0
6.043469387755102,27522.35958187005,0.0
6.647816326530612,27396.480766507928,0.0
7.252163265306121,27257.946503383602,0.0
7.856510204081632,27106.562757546457,0.0
8.460857142857142,26942.112931841206,0.0
9.065204081632652,26764.356179276278,0.0
9.669551020408163,26573.02545639171,0.0
10.273897959183673,26367.825277726606,0.0
10.878244897959183,26148.429123050453,0.0
11.482591836734693,25914.476438575148,0.0
12.086938775510204,25665.569160327195,0.0
12.691285714285714,25401.267671464924,0.0
13.295632653061224,25121.086084544153,0.0
13.899979591836734,24824.486713173865,0.0
14.504326530612243,24510.873563253757,0.0
15.108673469387753,24179.58462941158,0.0
15.713020408163263,23829.882723667357,0.0
16.317367346938774,23460.944485514687,0.0
16.921714285714284,23071.84711801078,0.0
17.526061224489794,22661.55225215434,0.0
18.130408163265304,22228.886145580465,0.0
18.734755102040815,21772.515146969934,0.0
19.339102040816325,21290.914967015622,0.0
19.943448979591835,20782.331731452636,0.0
20.547795918367346,20244.731957114054,0.0
21.152142857142856,19675.7373328281,0.0
21.756489795918366,19072.538240131922,0.0
22.360836734693876,18431.776854333442,0.0
22.965183673469387,17749.385590785612,0.0
23.569530612244897,17020.358029390354,0.0
24.173877551020407,16238.414140631952,0.0
24.778224489795917,15395.493103909263,0.0
25.382571428571428,14480.950582684756,0.0
25.986918367346938,13480.217335028277,0.0
26.591265306122448,12372.396565614692,0.0
27.19561224489796,11125.54456689066,0.0
27.79995918367347,9686.118665322287,0.0
28.40430612244898,7950.198453078895,0.0
29.008653061224486,5650.842755179968,0.0
29.613,0.0,0.0
