s,mccs
-2180.222412,0.001444453453
-2153.165283,0.001104512885
-2091.139648,0.00227123009
-2067.654785,0.002244148729
-2049.901367,0.001019309671
-2025.588379,0.0008601981315
-1862.668091,0.0004602984454
-1838.21582,0.0003414466667
-1820.398071,0.0002272900299
-1793.073486,0.0002958644395
-1785.963745,0.003488186308
-1765.487793,0.0002077418984
-1744.635132,0.0005880847085
-1730.661987,1.47329148e-05
-1725.047119,0.00405864139
-1716.015625,0.0009251072347
-1698.102295,1.535149477e-05
-1697.772583,0.0008883212855
-1692.571655,0.0001766879372
-1642.273926,1.262137519e-05
-1612.923706,3.321823617e-07
-1607.990845,1.847838565e-05
-1604.878784,0.01331147082
-1586.773438,0
-1579.687622,0
-1578.871826,0
-1574.672119,0
-1573.334595,4.780568012e-07
-1570.886108,0.01492155562
-1547.403564,6.185650224e-07
-1534.450073,2.329270553e-05
-1530.496094,2.202578475e-05
-1527.717896,1.067421525e-05
-1504.852661,1.091195815e-06
-1503.768921,0.0001333143797
-1494.69873,8.687294469e-07
-1481.959839,0
-1476.526123,0
-1472.224243,0
-1471.225586,0
-1470.564087,0
-1464.085083,0
-1443.477417,0
-1434.163452,0
-1424.24646,0
-1422.754517,0
-1418.474365,0
-1417.558716,0.03569177526
-1413.130981,0
-1410.978516,0
-1406.373779,0
-1406.157715,0
-1404.807251,0
-1400.886353,0
-1398.855713,9.748116592e-06
-1393.104126,4.399133034e-06
-1391.333862,5.341046338e-06
-1379.868896,0
-1367.017944,0
-1366.357544,9.259306428e-05
-1360.686157,5.007982063e-06
-1349.005005,0.04406173411
-1343.849976,0.04872451404
-1328.220947,0
-1323.682007,0
-1319.426392,6.525884903e-05
-1318.82959,6.966841555e-05
-1305.561401,0
-1292.993164,0
-1288.452637,0
-1287.032959,0.1431087948
-1260.591797,0.1260514478
-1243.818848,0.150148619
-1238.143799,0.09877335765
-1214.515137,0
-1194.890381,0.1327322465
-1189.552002,0
-1169.366943,0.1461057045
-1158.34729,0.1542931019
-1153.773193,0.1612441233
-1150.827881,0.150498025
-1114.057251,0.1172788486
-1079.919678,0.106832284
-1076.102661,0
-1046.066528,0.08961018063
-1036.904053,0
-1036.288574,0.08146085753
-1020.033203,0.07761015886
-990.0042725,0.06697206759
-982.4572754,0
-918.3769531,0
-917.1176147,0.06210474472
-895.0472412,0
-837.9191284,0
-799.7921143,0.05470880103
-779.9593506,0
-729.4338989,0.0464243561
-703.1298828,0.04361230136
-651.5888062,0.05049800837
-648.1025391,0.0366850642
-645.5390015,0.03571860472
-642.5690308,0.04929522753
-634.9533081,0.03737782759
-634.8821411,0.03738893664
-634.8181763,0.03736974987
-631.8554077,0.04385437564
-630.0698242,0.04557009386
-624.3909912,0.03398113477
-623.9908447,0.03377132964
-621.6713867,0.03417825426
-617.2471313,0.02872811175
-611.8334961,0.02912616166
-610.7958984,0.02841979909
-610.668335,0
-609.6184082,0.02784476135
-608.8162231,0.03568546203
-608.2374268,0.02724286106
-607.2911987,0.02931461006
-606.2763062,0.03291767644
-603.3643799,0.02969342447
-601.7849121,0.02697746546
-598.0164185,0.02651333722
-597.1442871,0.04326710644
-595.6243896,0.03910347157
-590.473999,0.04257269688
-587.9100952,0.04214581286
-585.897644,0.02592960749
-584.9611816,0
-584.4173584,0.03035594425
-583.8110352,0.02582982441
-583.4837036,0.03210720306
-583.2902832,0.03189851164
-583.145813,0.03046916118
-582.8896484,0.04111111904
-581.2587891,0.03030240015
-578.15625,0.02463968743
-578.1171265,0.02500629129
-576.1066284,0.03180142578
-572.7473145,0.03138047912
-572.6782837,0
-572.6303711,0.03161088401
-568.2161255,0.02404805572
-567.3242798,0.02581322175
-564.7111206,0.02365043737
-562.0453491,0.01521115831
-561.4181519,0.04071849141
-558.8415527,0.04056356332
-558.5285645,0.04039664568
-558.4822388,0.02961284906
-555.7046509,0.02530719097
-554.574585,0.02948362979
-553.9275513,0.02949387224
-548.9703979,0.02377011022
-544.3187256,0.02383271697
-539.9845581,0.02423291247
-535.7037354,0.02776719115
-533.6870117,0.003460856338
-533.5855713,0.02759162501
-525.710022,0
